"filename", "language", "XML", "JSON", "C#", "Swift", "YAML", "Properties", "Gradle", "C++", "HTML", "Dart", "Markdown", "Docker", "comment", "blank", "total"
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\UserProfileConfiguration.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherAlertConfiguration.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherConditionConfiguration.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherForecastConfiguration.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherNotificationConfiguration.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Identity\ApplicationUser.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Identity\AuthenticateService.cs", "C#", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Identity\GoogleAuthService.cs", "C#", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 80
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Identity\GoogleTokenResponse.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Identity\GoogleUserInfo.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Identity\RoleService.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Identity\SeedUserRoleInitial.cs", "C#", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 131
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Identity\UserService.cs", "C#", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 117
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\AdditionalUserRoleRepository.cs", "C#", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 42
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\AddressRepository.cs", "C#", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\CityRepository.cs", "C#", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
